name,text
Cable,"I honor the relationships and connections I have made in life, both internally and externally"
Chronicle,"I take note of what is happening around me and communicate that as authentically as possible"
Circuit,"I see connections, realize the cyclical and periodic nature of life's journeys, and understand how they are all connected"
Civic,"I think personal duty to others is critical; I feel a responsibility to create more value for the world than I extract"
Eureka,"I consistently surprise myself by accomplishing things I previously believed I could not"
Field,"I embrace the principles of nurture and growth through teamwork, perseverance, and preparedness  – a blade of grass does not make a field, but many blades together do"
Gate,"I see myself moving in an endless cycle forward — continuously improving towards the next goal, the next dream, the next level, the next gate"
Hunter,"I use my intuition to guide me through uncertainty and am constantly hunting down my goals"
Labyrinth,"I appreciate the intrinsic value of the journey itself, with all of its wrong turns and out-of-the-way stops"
Lands,"I develop a better understanding of both familiar and foreign lands, through deep cultural immersion"
Laurel,"I constantly ask questions and explore new ideas — never resting on my laurels"
Legion,"I take up arms for causes I choose to dedicate myself to, and work with others to achieve victory"
Liberty,"I seek to understand the role freedom plays in each of our lives, considering what aspects of life make me feel most vital, capable, and effective"
Mason,"I commit to working hard to accomplish shared goals, exploring common interests with those around me, and embracing lifelong learning"
Mission,"I focus on finding my personal mission—that which engenders the strongest connection I can feel to the world"
North,"I put faith in a future unrealized and look beyond what is immediately evident"
Ocean,"I search for both breadth, the examination of vast expanses, and depth, exploration far beyond what can be immediately seen on the surface"
Octagon,"I strive for balance and harmony among the various aspects of life"
Pier,"I stand for the conviction I build before embarking on a journey into the boundless ocean, accompanied by the promise of a future of my own making"
Plaza,"I step out of my comfort zone as a way to welcome others into my life"
Pyramid,"I build my core identity through intentional reflection and introspection"
Reserve,"I recognize the distinction between those things that may seem necessary but need not be kept, and those that appear unnecessary but are actually essential to retain"
Tower,"I abandon fear and climb down to look beyond pleasant views. Then embrace courage and climb up again"
Union,"I understand ""union"" as more than just an act of meeting. It is a connection, a binding force, a loyalty, and a meeting of profundity"
Vista,"I draw on my personal narrative, by taking snapshots of my life over time, being attentive to details, and staying open to change"
"Civic Responsibility","I take initiative to make a positive impact on communities, understanding local and global challenges, and feeling a responsibility to improve the lives of others."
"Intercultural Competency","I understand myself and others as cultural beings, adapting to new environments, and building meaningful relationships across different cultures."
"Interpersonal Engagement","I use self-awareness and emotional intelligence to communicate effectively, understand my impact on others, and build healthy relationships."
"Professional Development","I develop the skills and mindset for a meaningful career, understanding my strengths and values, and actively pursuing professional goals."
"Self-Management and Wellness","I practice healthy habits, managing stress and emotions effectively, and building resilience to lead a balanced and fulfilling life."
